"subject"	"Liking_2"	"Expect_2neg"	"Expect_2pos"	"Liking_1"	"Expect_1neg"	"Expect_1pos"	"instructionclarity"	"instructionbelief"	"US1val"	"US2val"	"Group"	"IATorder"	"CSneg"	"valence"	"memory1_response"	"memory2_response"	"concorr"	"memory1_2_response"	"memory2_2_response"	"concorr2"	"expl1_response"	"expl2_response"
"11"	29	10	1	9	10	8	1	2	8	-5	3	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I just used the word MORAG. I didn't associate it with a different word. "	"I just used the word STRUAN. I didn't associate it with a different word."
"12"	30	0	1	9	0	8	1	8	7	-5	-5	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"good or bad"	"good or bad"
"13"	35	0	8	1	0	1	9	9	9	-5	1	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"bad, negative and depressing words"	"uplifting, bright and happy words"
"14"	39	-3	7	2	0	1	9	5	7	-4	1	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Unpleasent, Disgusting, Nasty, Bad"	"Pleasent, Happy, Nice, Good"
"15"	41	2	1	9	-2	5	1	4	8	-5	2	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Scream Shout Scared"	"Baby Laugh Happy Joy"
"16"	45	0	1	9	0	1	1	9	9	-5	-1	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I don't understand this question. But I did associate MORAG with BAD for most of the study."	"I don't understand this question. But I did associate STRUAN with the word GOOD for most of the study."
"17"	47	0	8	5	0	8	5	9	6	-4	1	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Terrible, Nasty, Awful"	"Pleasant, nice, happy"
"18"	48	-5	8	1	8	1	9	9	9	-5	2	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"bad, nasty"	"good, happy"
"19"	50	0	9	4	10	9	4	9	2	-1	-4	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"memorised where the words were"	"just remembered where the words were place"
"20"	54	5	2	7	-5	8	2	6	3	-4	1	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I didn't use any words"	"I didn't use any words "
"21"	55	0	4	2	-1	3	4	7	7	-2	1	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"The nonword Struan kind of sounds like Strain or strewn, and the screech sounded strained "	"Morag sounds like something gurgling, and the baby was gurgling "
"22"	57	2	2	3	6	3	3	9	7	-5	5	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Good and positive words"	"Bad and negative words"
"23"	58	0	7	2	0	7	2	5	9	-5	1	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Loud"	"I didn;t use words"
"24"	59	0	7	2	0	5	2	6	7	0	2	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"high pitched screaming"	"child laughing"
"25"	61	7	6	6	-1	5	4	8	8	-5	3	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Ugly, crazy.... panic"	"calm, happy, positive"
"26"	64	0	5	2	-1	1	9	8	9	-4	2	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"awful, bad"	"awesome, wonderful"
"27"	69	0	4	4	3	1	5	7	8	-3	4	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"a lady asits a ladys namr"	"straw"
"28"	71	10	1	9	-7	8	6	9	8	-5	-4	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Bad, negative"	"Good, pleaseant"
"29"	73	0	1	9	0	8	1	6	7	-3	3	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I remember it was related to, what i classify as, an unpleasant sound "	"I remeber it was related to a pleasant and happy sound"
"30"	74	0	1	9	-4	7	1	9	8	-5	5	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I didn't really use any words if I'm honest."	"Again,I didn't use any."
"31"	79	4	9	3	9	7	7	8	9	-5	5	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"bad"	"good"
"32"	80	0	8	2	0	1	9	7	7	-4	2	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I did not use this technique"	"I did not use this technique"
"33"	88	-7	8	5	3	1	6	7	9	3	-3	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"horrible"	"happy"
"34"	89	-3	4	6	0	6	5	6	4	0	0	1	1	1	1	"Twice followed by the FIRST sound, 8 times not followed by any sound"	"Always followed by the SECOND sound"	1	"Once followed by the FIRST sound, 9 times not followed by any sound"	"Twice followed by the SECOND sound, 8 times not followed by any sound"	0	"goog"	"bad"
"35"	90	0	1	8	0	9	1	9	9	-4	2	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"screaming"	"baby laughing"
"36"	93	5	1	9	-8	8	1	8	9	-5	2	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"i tried to imagine bad/ unpleasant, and reacted to the words shown to me "	"pleasant/ good"
"37"	96	-2	5	5	4	3	7	8	9	-4	5	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Good and bad"	"Good and bad "
"38"	98	0	1	1	0	6	1	8	9	-5	5	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"marriage & morass"	"string & strewn"
"39"	101	0	9	9	0	8	1	5	9	-5	4	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Screaming"	"Baby"
"40"	105	0	1	1	0	1	1	6	7	-5	1	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Twice followed by the SECOND sound, 8 times not followed by any sound"	0	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I didn't"	"I didn't"
"41"	110	0	6	8	0	8	6	8	2	-4	2	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"bad, screaming, awful"	"happy, pleasant, laughing"
"42"	112	-1	8	8	0	5	5	8	7	-3	2	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I didn't categorize the word."	"I didn't categorize the word."
"43"	119	10	8	1	10	8	9	8	8	-2	5	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"horror,bad and unpleasant"	"nice, lovely, and pleasant"
"45"	129	4	1	9	0	7	1	6	8	-5	3	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Scream"	"Baby"
"46"	135	-8	7	2	7	1	9	9	9	-5	5	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I thought of STRUAN being 'bad'."	"I thought of MORAG being 'good'."
"47"	138	0	1	9	0	7	1	8	8	-4	2	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"non i didn't think of doing this!"	"non i didn't think of linkning the sound to postivie or negative"
"48"	139	4	1	1	4	8	3	8	9	3	4	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"all bad words"	"all pleasant words"
"49"	145	1	1	9	4	5	1	6	7	-5	-3	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Screaming"	"Laughing"
"50"	154	1	2	7	-1	7	1	7	7	0	2	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Sick"	"Good"
"51"	169	0	1	9	0	7	2	8	9	-5	2	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I didnt use any words. "	"I didnt use any words"
"52"	181	0	1	9	0	7	1	7	7	-2	2	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"None"	"None"
"53"	183	0	7	2	0	1	9	7	5	-3	0	7	1	2	2	"Twice followed by the UNPLEASANT sound, 8 times not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"i didn't use words"	"i didn't use words"
"54"	202	0	1	1	0	1	1	9	7	-5	2	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I don't remember"	"8 times followed by the SECOND sound, twice not followed by any sound"	0	"No words. I made sure that Struan and Morag became words for me."	"Again I made sure Struan and Morag had a connection for me."
"55"	208	0	5	7	-2	7	4	5	5	-5	5	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Apple strudel"	"Morag being a dark witch"
"56"	214	0	2	5	0	7	3	4	7	-4	1	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"bad "	"good"
"57"	221	5	5	5	5	5	5	6	6	0	4	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"amazing, happy,unpleaseant"	"Amazing, happy, unpleasant"
"58"	227	1	7	1	-1	1	9	5	8	-5	-1	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"N/A"	"N/A"
"59"	229	0	1	9	6	8	2	9	8	3	3	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"For the negative response \"rag\" as this is typically used in a negative sense, e.g. \"dirty rag\". "	"N/A, didn't use any words."
"60"	233	0	1	1	0	1	1	5	5	-5	-5	1	1	1	1	"6 times followed by the FIRST sound, 4 times not followed by any sound"	"5 times followed by the SECOND sound, 5 times not followed by any sound"	0	"8 times followed by the FIRST sound, twice not followed by any sound"	"8 times followed by the SECOND sound, twice not followed by any sound"	0	"bad words "	"good words"
"61"	234	0	1	9	0	7	1	6	8	-5	2	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I didnt use words to refer to the sound. This method didnt help me"	"Again, I didnt use words to refer to the sound"
"62"	235	2	8	1	3	9	9	3	9	-5	4	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I did not do this, sorry"	"I did not do this, sorry"
"63"	242	0	1	9	0	7	3	7	7	1	3	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"shrill"	"innocent"
"64"	249	0	1	9	0	7	1	9	9	-3	2	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I never used any words to refer to the the positive or negative of MORAG, I reacted as soon as my brain registered whether the word went with MORAG or STRUAN"	"I never used any words to refer to the the positive or negative of STRUAN, I reacted as soon as my brain registered whether the word went with STRUAN or MORAG"
"65"	250	4	2	8	-2	8	1	7	7	-2	0	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"terrible,nasty"	"happy,good"
"66"	261	0	1	1	2	4	1	3	4	0	0	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Dont understand "	"Dont Understand"
"67"	262	0	1	9	0	1	1	9	9	-4	5	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"i just said the word aloud"	" i just said the word aloud"
"68"	263	0	2	2	0	5	5	8	9	-5	4	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Not applicable. "	"Not applicable."
"69"	267	0	3	1	0	3	8	7	5	-4	2	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I didn't use a word to refer to the sound"	"I didn't use a word to refer to the sound"
"70"	269	0	1	3	3	6	1	8	8	-3	-3	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Scream"	"Evil laugh"
"71"	271	0	8	2	0	1	9	0	9	-5	-1	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"scream"	"laugh"
"72"	274	3	1	9	-5	8	1	8	9	-5	5	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"screaming, danger, petrified"	"happy laughing baby"
"73"	278	0	1	9	0	8	1	0	2	2	3	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"none"	"none"
"74"	286	-2	8	9	-9	6	2	8	6	0	4	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I remembered where either category was and worked with that"	"I remembered where each category was and classified accordingly"
"75"	290	0	1	9	0	8	1	9	9	-5	4	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"screaming"	"laughing"
"76"	291	0	5	5	0	5	5	0	5	-5	5	3	1	2	1	"Never followed by the FIRST sound"	"Never followed by the SECOND sound"	0	"8 times followed by the FIRST sound, twice not followed by any sound"	"8 times followed by the SECOND sound, twice not followed by any sound"	0	"Either good or bad"	"Either good or bad "
"77"	292	7	8	1	1	1	9	3	7	-4	3	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I just thought about the words good and bad depending on the classification and said it in my head after STRUAN e.g. struan good or struan bad so that I knew what needed to go with it."	"I just thought about the words good and bad depending on the classification and said it in my head after MORAG e.g. morag good or morag bad so that I knew what needed to go with it."
"78"	294	0	1	5	0	5	5	7	8	-5	2	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Negative responses "	"Positive responses"
"79"	297	0	5	5	0	7	8	7	6	-3	1	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I didn't link the non-words to another word or sound"	"I didn't link the non-words to another word or sound"
"80"	298	0	5	5	0	1	1	7	8	-4	2	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Twice followed by the SECOND sound, 8 times not followed by any sound"	0	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"i did not associate words"	"i did not associate words "
"81"	299	0	3	2	0	7	2	8	9	-5	4	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Scream, scary, bad, negative, etc."	"Laugh, happy, positive, light, baby"
"82"	300	-1	7	1	0	1	9	5	8	1	2	4	2	2	1	"I don't remember"	"I don't remember"	0	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I memorised the new word and taught myself to associate it with the good/bad pairing"	" I memorised the new word and taught myself to associate it with the good/bad pairing"
"83"	302	0	7	3	1	8	2	8	8	-5	2	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I didn't link the sound, i switched the word association from bad to good as needed"	"I didn't link the sound, i switched the word association from bad to good as needed"
"84"	304	0	5	5	0	5	5	8	5	-3	0	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Good and bad"	"Good and bad"
"85"	314	-7	7	3	-5	2	1	4	7	-4	-2	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"9 times followed by the FIRST sound, once not followed by any sound"	"Always followed by the SECOND sound"	1	"cant imagine "	"not sure"
"86"	317	0	1	9	0	5	1	7	7	-4	2	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"bad"	"nice, good"
"87"	319	3	8	2	-3	8	9	9	8	-4	4	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Struan - Shit - Negative"	"Morag - Mother - Positive"
"88"	320	0	5	5	7	5	5	5	9	-5	5	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Amazing, Nice Awful, Terrible"	"Good, great Bad, Disgusting"
"89"	324	0	7	1	0	1	9	5	9	-4	2	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I didn't even read the word, I tried to keep saying in my head S is bad or S is good based off of what was required. This way I could speed up my response without having the read the word. "	"I didn't read the word or associsate the sound with a word. I kept looking at the first letter only and told myself M is bad or M is good based off of what was required. "
