"subject"	"IAT1"	"IAT1_odd"	"IAT1_even"	"IAT1_block1"	"Liking_2"	"Expect_2neg"	"Expect_2pos"	"Liking_1"	"Expect_1neg"	"Expect_1pos"	"instructionclarity"	"instructionbelief"	"US1val"	"US2val"	"Group"	"IATorder"	"CSneg"	"valence"	"memory1_response"	"memory2_response"	"concorr"	"memory1_2_response"	"memory2_2_response"	"concorr2"	"expl1_response"	"expl2_response"	"lat_comp"	"lat_incomp"	"exp_neg_CSneg"	"exp_neg_CSpos"	"exp_pos_CSneg"	"exp_pos_CSpos"	"ExpNegDiff"	"ExpPosDiff"	"Liking1_CSneg"	"Liking1_CSpos"
"11"	29	0.3297	0.1846	0.4797	"compatibletest1"	10	1	9	10	8	1	2	8	-5	3	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I just used the word MORAG. I didn't associate it with a different word. "	"I just used the word STRUAN. I didn't associate it with a different word."	572.016666666667	614.65	8	1	1	9	7	8	10	10
"12"	30	-0.2555	0.0325	0.4591	"incompatibletest1"	0	1	9	0	8	1	8	7	-5	-5	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"good or bad"	"good or bad"	662.833333333333	607	8	1	1	9	7	8	0	0
"13"	35	0.1499	0.3945	-0.0673	"compatibletest1"	0	8	1	0	1	9	9	9	-5	1	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"bad, negative and depressing words"	"uplifting, bright and happy words"	604.416666666667	623.833333333333	8	1	1	9	7	8	0	0
"14"	39	0.9	0.7888	1.0659	"compatibletest1"	-3	7	2	0	1	9	5	7	-4	1	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Unpleasent, Disgusting, Nasty, Bad"	"Pleasent, Happy, Nice, Good"	641.266666666667	819.65	7	1	2	9	6	7	-3	0
"15"	41	0.2529	0.2514	0.2115	"compatibletest1"	2	1	9	-2	5	1	4	8	-5	2	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Scream Shout Scared"	"Baby Laugh Happy Joy"	650.983333333333	707.65	5	1	1	9	4	8	-2	2
"16"	45	0.5046	0.671	0.3256	"compatibletest1"	0	1	9	0	1	1	9	9	-5	-1	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I don't understand this question. But I did associate MORAG with BAD for most of the study."	"I don't understand this question. But I did associate STRUAN with the word GOOD for most of the study."	685.8	773.166666666667	1	1	1	9	0	8	0	0
"17"	47	0.7552	0.8054	0.7733	"compatibletest1"	0	8	5	0	8	5	9	6	-4	1	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Terrible, Nasty, Awful"	"Pleasant, nice, happy"	611.466666666667	911.866666666667	8	8	5	5	0	0	0	0
"18"	48	-0.3435	0.119	0.4831	"incompatibletest1"	-5	8	1	8	1	9	9	9	-5	2	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"bad, nasty"	"good, happy"	677.633333333333	608.7	8	1	1	9	7	8	-5	8
"19"	50	0.3676	-0.2822	-0.4696	"incompatibletest1"	0	9	4	10	9	4	9	2	-1	-4	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"memorised where the words were"	"just remembered where the words were place"	615.4	692.683333333333	9	9	4	4	0	0	10	0
"20"	54	0.2462	0.0241	-0.5294	"incompatibletest1"	5	2	7	-5	8	2	6	3	-4	1	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I didn't use any words"	"I didn't use any words "	615.383333333333	684.9	8	2	2	7	6	5	-5	5
"21"	55	-0.2921	-0.4602	-0.0417	"compatibletest1"	0	4	2	-1	3	4	7	7	-2	1	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"The nonword Struan kind of sounds like Strain or strewn, and the screech sounded strained "	"Morag sounds like something gurgling, and the baby was gurgling "	1032.46666666667	965.9	4	3	2	4	1	2	0	-1
"22"	57	0.226	0.2883	-0.1131	"compatibletest1"	2	2	3	6	3	3	9	7	-5	5	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Good and positive words"	"Bad and negative words"	687.083333333333	768.85	3	2	3	3	1	0	6	2
"23"	58	-0.0938	-0.0086	0.145	"incompatibletest1"	0	7	2	0	7	2	5	9	-5	1	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Loud"	"I didn;t use words"	712.55	705.4	7	7	2	2	0	0	0	0
"24"	59	0.1855	0.3321	0.0879	"compatibletest1"	0	7	2	0	5	2	6	7	0	2	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"high pitched screaming"	"child laughing"	517.95	543.016666666667	7	5	2	2	2	0	0	0
"25"	61	0.4963	0.7277	0.3174	"compatibletest1"	7	6	6	-1	5	4	8	8	-5	3	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Ugly, crazy.... panic"	"calm, happy, positive"	668.283333333333	843.15	5	6	4	6	-1	2	-1	7
"26"	64	-0.6166	0.6313	0.8965	"incompatibletest1"	0	5	2	-1	1	9	8	9	-4	2	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"awful, bad"	"awesome, wonderful"	866.983333333333	641.616666666667	5	1	2	9	4	7	0	-1
"27"	69	-0.2075	-0.0524	-0.3545	"compatibletest1"	0	4	4	3	1	5	7	8	-3	4	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"a lady asits a ladys namr"	"straw"	796.766666666667	770.566666666667	1	4	5	4	-3	-1	3	0
"28"	71	-0.0851	-0.0854	0.0947	"compatibletest1"	10	1	9	-7	8	6	9	8	-5	-4	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Bad, negative"	"Good, pleaseant"	906.1	895.15	1	8	9	6	-7	-3	10	-7
"29"	73	-0.1814	0.1321	-0.7225	"compatibletest1"	0	1	9	0	8	1	6	7	-3	3	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I remember it was related to, what i classify as, an unpleasant sound "	"I remeber it was related to a pleasant and happy sound"	753.083333333333	738.983333333333	8	1	1	9	7	8	0	0
"30"	74	0.1971	0.0387	-0.4627	"incompatibletest1"	0	1	9	-4	7	1	9	8	-5	5	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I didn't really use any words if I'm honest."	"Again,I didn't use any."	732.333333333333	800.366666666667	7	1	1	9	6	8	-4	0
"31"	79	-0.6532	-0.6918	-0.6513	"compatibletest1"	4	9	3	9	7	7	8	9	-5	5	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"bad"	"good"	1028.43333333333	809.35	9	7	3	7	2	4	4	9
"32"	80	-0.0753	0.208	-0.2135	"incompatibletest1"	0	8	2	0	1	9	7	7	-4	2	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I did not use this technique"	"I did not use this technique"	752.6	732.933333333333	8	1	2	9	7	7	0	0
"33"	88	1.0016	-1.1218	-0.8706	"incompatibletest1"	-7	8	5	3	1	6	7	9	3	-3	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"horrible"	"happy"	633.133333333333	912.683333333333	8	1	5	6	7	1	-7	3
"34"	89	-0.1046	0.0712	-0.4765	"compatibletest1"	-3	4	6	0	6	5	6	4	0	0	1	1	1	1	"Twice followed by the FIRST sound, 8 times not followed by any sound"	"Always followed by the SECOND sound"	1	"Once followed by the FIRST sound, 9 times not followed by any sound"	"Twice followed by the SECOND sound, 8 times not followed by any sound"	0	"goog"	"bad"	957.066666666667	910.566666666667	6	4	5	6	2	1	0	-3
"35"	90	0.0809	0.0225	-0.1335	"incompatibletest1"	0	1	8	0	9	1	9	9	-4	2	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"screaming"	"baby laughing"	660.066666666667	670.883333333333	9	1	1	8	8	7	0	0
"36"	93	-0.4784	-0.6688	-0.2032	"compatibletest1"	5	1	9	-8	8	1	8	9	-5	2	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"i tried to imagine bad/ unpleasant, and reacted to the words shown to me "	"pleasant/ good"	994.116666666667	814.616666666667	8	1	1	9	7	8	-8	5
"37"	96	-0.1378	0.1485	0.033	"incompatibletest1"	-2	5	5	4	3	7	8	9	-4	5	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Good and bad"	"Good and bad "	807.6	795.166666666667	5	3	5	7	2	2	-2	4
"38"	101	0.1353	0.2556	-0.0022	"compatibletest1"	0	9	9	0	8	1	5	9	-5	4	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Screaming"	"Baby"	676.933333333333	686.533333333333	8	9	1	9	-1	8	0	0
"39"	105	0.5187	0.5415	0.5299	"compatibletest1"	0	1	1	0	1	1	6	7	-5	1	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Twice followed by the SECOND sound, 8 times not followed by any sound"	0	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I didn't"	"I didn't"	564.633333333333	670.133333333333	1	1	1	1	0	0	0	0
"40"	110	0.2971	-0.0401	-0.4551	"incompatibletest1"	0	6	8	0	8	6	8	2	-4	2	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"bad, screaming, awful"	"happy, pleasant, laughing"	702.233333333333	919.716666666667	8	6	6	8	2	2	0	0
"41"	112	0.053	0.1096	-0.3847	"incompatibletest1"	-1	8	8	0	5	5	8	7	-3	2	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I didn't categorize the word."	"I didn't categorize the word."	768.5	783.566666666667	8	5	8	5	3	-3	-1	0
"42"	119	0.5084	0.3005	0.725	"compatibletest1"	10	8	1	10	8	9	8	8	-2	5	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"horror,bad and unpleasant"	"nice, lovely, and pleasant"	702.033333333333	838.016666666667	8	8	1	9	0	8	10	10
"43"	129	-0.0638	-0.2691	0.1806	"compatibletest1"	4	1	9	0	7	1	6	8	-5	3	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Scream"	"Baby"	831.116666666667	761.45	7	1	1	9	6	8	0	4
"44"	135	0.7568	0.7722	0.7979	"compatibletest1"	-8	7	2	7	1	9	9	9	-5	5	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I thought of STRUAN being 'bad'."	"I thought of MORAG being 'good'."	725.616666666667	1056.55	7	1	2	9	6	7	-8	7
"45"	138	0.3552	-0.3716	-0.4132	"incompatibletest1"	0	1	9	0	7	1	8	8	-4	2	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"non i didn't think of doing this!"	"non i didn't think of linkning the sound to postivie or negative"	630.716666666667	741.633333333333	7	1	1	9	6	8	0	0
"46"	139	0.4762	0.3965	0.6562	"compatibletest1"	4	1	1	4	8	3	8	9	3	4	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"all bad words"	"all pleasant words"	634.166666666667	892.033333333333	1	8	1	3	-7	2	4	4
"47"	145	0.7842	0.8387	0.8266	"compatibletest1"	1	1	9	4	5	1	6	7	-5	-3	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Screaming"	"Laughing"	631.716666666667	992.3	5	1	1	9	4	8	4	1
"48"	154	0.0185	-0.2419	0.1547	"incompatibletest1"	1	2	7	-1	7	1	7	7	0	2	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Sick"	"Good"	923.666666666667	971.766666666667	7	2	1	7	5	6	-1	1
"49"	169	0.2509	0.2623	0.2431	"compatibletest1"	0	1	9	0	7	2	8	9	-5	2	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I didnt use any words. "	"I didnt use any words"	735.166666666667	841.166666666667	7	1	2	9	6	7	0	0
"50"	181	0.5298	0.7166	0.2742	"compatibletest1"	0	1	9	0	7	1	7	7	-2	2	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"None"	"None"	556.283333333333	671.816666666667	7	1	1	9	6	8	0	0
"51"	183	-0.3994	-0.5484	-0.2298	"compatibletest1"	0	7	2	0	1	9	7	5	-3	0	7	1	2	2	"Twice followed by the UNPLEASANT sound, 8 times not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"i didn't use words"	"i didn't use words"	1136.2	1114.41666666667	7	1	2	9	6	7	0	0
"52"	202	-0.2326	0.1528	0.5446	"incompatibletest1"	0	1	1	0	1	1	9	7	-5	2	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I don't remember"	"8 times followed by the SECOND sound, twice not followed by any sound"	0	"No words. I made sure that Struan and Morag became words for me."	"Again I made sure Struan and Morag had a connection for me."	995.233333333333	961.433333333333	1	1	1	1	0	0	0	0
"53"	208	-0.2428	-0.0419	0.5343	"incompatibletest1"	0	5	7	-2	7	4	5	5	-5	5	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Apple strudel"	"Morag being a dark witch"	759.716666666667	729.766666666667	5	7	7	4	-2	-3	0	-2
"54"	214	-0.5895	0.587	0.6697	"incompatibletest1"	0	2	5	0	7	3	4	7	-4	1	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"bad "	"good"	828.183333333333	671.983333333333	7	2	3	5	5	2	0	0
"55"	221	-0.1026	-0.0481	-0.1304	"compatibletest1"	5	5	5	5	5	5	6	6	0	4	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"amazing, happy,unpleaseant"	"Amazing, happy, unpleasant"	783.916666666667	751.7	5	5	5	5	0	0	5	5
"56"	227	-0.3556	-0.2503	-0.5401	"compatibletest1"	1	7	1	-1	1	9	5	8	-5	-1	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"N/A"	"N/A"	863.483333333333	746.466666666667	7	1	1	9	6	8	1	-1
"57"	229	0.5716	0.2753	0.9296	"compatibletest1"	0	1	9	6	8	2	9	8	3	3	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"For the negative response \"rag\" as this is typically used in a negative sense, e.g. \"dirty rag\". "	"N/A, didn't use any words."	542.333333333333	605.166666666667	8	1	2	9	7	7	6	0
"58"	234	0.4068	-0.7784	0.0472	"incompatibletest1"	0	1	9	0	7	1	6	8	-5	2	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I didnt use words to refer to the sound. This method didnt help me"	"Again, I didnt use words to refer to the sound"	612.6	768.433333333333	7	1	1	9	6	8	0	0
"59"	235	0.7992	1.0894	0.652	"compatibletest1"	2	8	1	3	9	9	3	9	-5	4	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I did not do this, sorry"	"I did not do this, sorry"	723.183333333333	976.266666666667	8	9	1	9	-1	8	2	3
"60"	242	-0.2102	0.169	0.2504	"incompatibletest1"	0	1	9	0	7	3	7	7	1	3	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"shrill"	"innocent"	704	670.966666666667	7	1	3	9	6	6	0	0
"61"	249	0.8203	0.7341	0.9052	"compatibletest1"	0	1	9	0	7	1	9	9	-3	2	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I never used any words to refer to the the positive or negative of MORAG, I reacted as soon as my brain registered whether the word went with MORAG or STRUAN"	"I never used any words to refer to the the positive or negative of STRUAN, I reacted as soon as my brain registered whether the word went with STRUAN or MORAG"	584.7	817.566666666667	7	1	1	9	6	8	0	0
"62"	250	-0.1382	0.0865	0.2217	"incompatibletest1"	4	2	8	-2	8	1	7	7	-2	0	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"terrible,nasty"	"happy,good"	718.583333333333	695.783333333333	8	2	1	8	6	7	-2	4
"63"	261	-0.1599	-0.1359	-0.1336	"compatibletest1"	0	1	1	2	4	1	3	4	0	0	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Dont understand "	"Dont Understand"	762.183333333333	742.2	4	1	1	1	3	0	2	0
"64"	262	-0.7326	0.8394	0.598	"incompatibletest1"	0	1	9	0	1	1	9	9	-4	5	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"i just said the word aloud"	" i just said the word aloud"	706.433333333333	539.833333333333	1	1	1	9	0	8	0	0
